Branch,City,Customer Type,Gender,Product,Unit Price,Quantity,Tax 5%,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,1/5/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9.1
C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,3/8/2019,10:29,Cash,76.4,4.761904762,3.82,9.6
A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,3/3/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4
A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,1/27/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4
A,Yangon,Normal,,Sports and travel,86.31,7,30.2085,2/8/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3
C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,3/25/2019,18:30,Ewallet,597.73,4.761904762,29.8865,4.1
A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,2/25/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8
C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,2/24/2019,11:38,Ewallet,735.6,4.761904762,36.78,8
A,Yangon,Member,,Health and beauty,36.26,2,3.626,1/10/2019,17:15,Credit card,72.52,4.761904762,3.626,7.2
B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,2/20/2019,13:27,Credit card,164.52,4.761904762,8.226,5.9
B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,2/6/2019,18:07,Ewallet,57.92,4.761904762,2.896,4.5
B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,3/9/2019,17:03,Cash,102.04,4.761904762,5.102,6.8
A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,2/12/2019,10:25,Ewallet,234.75,4.761904762,11.7375,7.1
A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,2/7/2019,16:48,Ewallet,431.9,4.761904762,21.595,8.2
A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,3/29/2019,19:21,Cash,713.8,4.761904762,35.69,5.7
B,Mandalay,Member,,Sports and travel,93.72,6,28.116,1/15/2019,16:19,Cash,562.32,4.761904762,28.116,4.5
A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,3/11/2019,11:03,Credit card,482.51,4.761904762,24.1255,4.6
A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,1/1/2019,10:39,Credit card,435.66,4.761904762,21.783,6.9
A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,1/21/2019,18:00,Credit card,164.01,4.761904762,8.2005,8.6
B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,3/11/2019,15:30,Ewallet,80.6,4.761904762,4.03,4.4
C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,2/25/2019,11:24,Ewallet,430.2,4.761904762,21.51,4.8
B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,3/5/2019,10:40,Ewallet,263.94,4.761904762,13.197,5.1
B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,3/15/2019,12:20,Credit card,66.4,4.761904762,3.32,4.4
A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,2/17/2019,11:15,Ewallet,172.8,4.761904762,8.64,9.9
A,Yangon,Member,,Sports and travel,88.63,3,13.2945,3/2/2019,17:36,Ewallet,265.89,4.761904762,13.2945,6
A,Yangon,,Female,Home and lifestyle,52.59,8,21.036,3/22/2019,19:20,Credit card,420.72,4.761904762,21.036,8.5
B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,2/8/2019,15:31,Cash,33.52,4.761904762,1.676,6.7
A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,3/10/2019,12:17,Credit card,175.34,4.761904762,8.767,7.7
B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,1/25/2019,19:48,Cash,441.8,4.761904762,22.09,9.6
A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,3/15/2019,15:36,Cash,224.01,4.761904762,11.2005,7.4
B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,2/25/2019,19:39,Credit card,470.65,4.761904762,23.5325,4.8
B,Mandalay,,Male,Sports and travel,78.07,9,35.1315,1/28/2019,12:43,Cash,702.63,4.761904762,35.1315,4.5
B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,1/10/2019,14:49,Cash,670.24,4.761904762,33.512,5.1
A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,3/15/2019,10:12,Credit card,193.16,4.761904762,9.658,5.1
C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,2/6/2019,10:42,Ewallet,397.68,4.761904762,19.884,7.5
C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,1/7/2019,12:28,Ewallet,68.12,4.761904762,3.406,6.8
A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,3/10/2019,19:15,Ewallet,313.1,4.761904762,15.655,7
A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,1/15/2019,17:17,Ewallet,547.92,4.761904762,27.396,4.7
C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,3/23/2019,13:24,Ewallet,439.36,4.761904762,21.968,7.6
B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,3/3/2019,13:01,Cash,240.96,4.761904762,12.048,7.7
B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,1/17/2019,18:45,Ewallet,86.72,4.761904762,4.336,7.9
C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,2/2/2019,10:11,Cash,112.22,4.761904762,5.611,6.3
B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,2/8/2019,13:03,Cash,414.72,4.761904762,20.736,5.6
C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,3/4/2019,20:39,Cash,789.6,4.761904762,39.48,7.6
C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,3/16/2019,19:47,Cash,30.74,4.761904762,1.537,7.2
B,Mandalay,,Female,Electronic accessories,93.96,4,18.792,3/9/2019,18:00,Cash,375.84,4.761904762,18.792,9.5
B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,2/27/2019,17:24,Credit card,510.21,4.761904762,25.5105,8.4
B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,2/6/2019,15:47,Ewallet,180.09,4.761904762,9.0045,4.1
B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,2/10/2019,12:45,Credit card,113.58,4.761904762,5.679,8.1
C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,3/19/2019,17:08,Ewallet,826.3,4.761904762,41.315,7.9
C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,2/3/2019,10:19,Cash,639.8,4.761904762,31.99,9.5
A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,2/10/2019,15:10,Cash,222.95,4.761904762,11.1475,8.5
B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,3/22/2019,14:42,Ewallet,71.48,4.761904762,3.574,6.5
C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,1/25/2019,15:46,Credit card,15.43,4.761904762,0.7715,6.1
B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,3/7/2019,11:49,Ewallet,32.32,4.761904762,1.616,6.5
C,Naypyitaw,,Female,Electronic accessories,85.98,8,34.392,2/28/2019,19:01,Cash,687.84,4.761904762,34.392,8.2
A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,3/27/2019,11:26,Cash,88.68,4.761904762,4.434,5.8
A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,2/7/2019,11:28,Ewallet,716.8,4.761904762,35.84,6.6
A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,1/20/2019,15:55,Cash,723.5,4.761904762,36.175,5.4
C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,3/12/2019,20:36,Cash,183.66,4.761904762,9.183,9.3
C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,2/15/2019,17:47,Credit card,74.22,4.761904762,3.711,10
C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,2/24/2019,10:55,Ewallet,334.38,4.761904762,16.719,7
B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,2/3/2019,13:40,Ewallet,495.63,4.761904762,24.7815,10
A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,3/6/2019,12:27,Credit card,158.1,4.761904762,7.905,8.6
B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,2/14/2019,14:35,Cash,302.96,4.761904762,15.148,7.6
A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,3/13/2019,16:40,Cash,158.7,4.761904762,7.935,5.8
C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,2/10/2019,15:43,Ewallet,66.94,4.761904762,3.347,6.7
B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,1/7/2019,15:01,Ewallet,585.66,4.761904762,29.283,9.9
A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,1/24/2019,10:04,Cash,787.7,4.761904762,39.385,6.4
A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,2/2/2019,18:50,Cash,18.33,4.761904762,0.9165,4.3
C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,1/6/2019,12:46,Credit card,894.8,4.761904762,44.74,9.6
C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,2/11/2019,16:19,Cash,621.2,4.761904762,31.06,5.9
